;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;
;;Тима Сусляев;Ai Accordions;Надежда Капустина;Оксана Лащилина;Артур Колесник;Макс Громов;Константин Бондаренко (Отряд Котовскага);Алексей Алмавем;iva Muzhskoi;Виталий Мартюков;Алексей Леонтьев;Яан Лодди;Елена Слободчикова ;Илья Дорожкин;Александр Сулимов;Андрей Салов;Евгений Мазаков;Денис Смирнов;Константин Бондаренко (b'n'd);Руслан Назарович;Татьяна Руденко;Максим Дубровский;Neldy Music;Ze Gamer;Наталия Фомина;Бред Питт;Анна Чулкова;Михаил Юршевич;Ольга Гавришина;Маруся Хмельная;Михаил Дмитриев;Арон Авесин;Ai Sound Architect Digital Composer;Николай Петров;Аиболид Творческое Объединение;Ивита Полонская;Павел Желибо;Папа Сэм;Валерий Востриков;Granny Dances;Максим Яшин;Hito Shniperson;Екатерина Евстратова;Евгений Александрович;Sashka Rheanomalia;Кирилл Панов;Николай Баркалов;Sergey Chayka;Skart Ai Project;Владимир Морозов;Михаил Зиновьев;Дмитрий Люсков;Амалия Жучок;Наталья Дьякова;Андрей Воронин;Ирина Воскобойникова;Kazladur Brink;;;;
Это Финал - SerGGGG ft. Мышь Band (Сережа Грякалов);1,2;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;0,3;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;
Палач (демо версия) - Павел Желибо (Павел Желибо);1,9;0,3;;0,2;0,1;;;;0,1;;;;;;0,3;;;;;;0,1;;;;0,3;;;;;;;;;;;0,1;;;;;0,4;;;;;;;;;;;;;;;;;;;;;
На дороге иной - Сол на Марсе (SoM) (Cол Иодим);3,8;0,2;;;;;;;;;;0,1;;;;0,3;;;;;;;;;;0,4;;;;0,2;;0,2;;;;0,4;;0,4;0,1;0,1;;;;0,1;;0,4;0,2;;;0,4;;;0,3;;;;;;;;;
I Won’t Say Goodbye - Yury Petukhov (Юрий Петухов);0,1;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Сколько лет — сколько зим…"" - MetaZvuk (Neldy Music)";1,9;;0,4;0,3;0,2;;;;0,4;;;;;;;;;;0,1;;;0,3;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;
 Сашка-гармонист - ЛОВiNicE (Оксана Лащилина);1,3;;0,3;;;;;;;;;;;0,1;;;0,1;;;;;;;;;;;0,4;0,1;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;;;;;;;
Бабки любят бабки - Satir-X (Славомир feat. Мирослава) (Дмитрий Выхин);0,3;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Мы-снова чемпионы (версия 2.0) - DJ NEOPHRON feat BAD SONGS PROJECT (Dj Neophron);1,4;;0,1;;0,4;;;;;;;;;0,1;;;0,2;;;;;;;0,2;;;;0,1;;;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Птицы в небе - Алмавем (Алексей Алмавем);1,4;;;0,4;;;;;;;;;;;;;;;0,3;;;;0,4;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Алиса, посоветуй! - 
Neferet & PASE feat. SunoAI (Анна Чулкова)";1,1;;;0,1;;;;;;;;;;;;0,2;;0,3;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;
Интернет - НейроДюха (Андрей Салов);0,3;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Сделай это со мной - hito (Hito Shniperson);1,1;;;;;0,4;;;;;;;0,1;;;;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;
Гречка - наше всё - PoulSoul (Павел Гупало);0,8;;;;;0,3;;0,1;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Enough - FearTheChipper (Максим Яшин);1;;;;;0,2;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;0,3;;;;;;;0,3;;;;;;;;;;;;;;;;;;
Лонгин Сотник - Сова Сумрачная AI (Сова Сумрачная);0,4;;;;;0,1;;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Неоновые Сны - ТехноСфера Вечности (Кирилл Генкин);0,7;;;;;;0,4;;;;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лети - Руденко Т.В. + Рифф (Татьяна Руденко);1,6;;;;;;0,3;;;;;;;;;0,4;0,4;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;
Сердце моё в огне - iRicha (Ирина Воскобойникова);0,6;;;;;;0,2;;;;;;;;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Румба Шредингера - Celsa (Yulisse Cobre);0,4;;;;;;0,1;;;;;;;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Цвет ночи - NadinKa (Надежда Капустина);1,8;;;;;;;0,4;0,3;;;0,4;;;;;;;;;;;;;;;;0,2;;;;;0,4;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;
Чезабретта - Наташка Дьякова & SAI (Наталья Дьякова);0,7;;;;;;;0,3;;;;;;;;;;;;;;;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;;;;;
Notice.me - Kazladur (Kazladur Brink);1,6;;;;;;;0,2;;0,3;;;0,4;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;0,2;;;;;;;;;;;;;;0,4;;;;;;
Солнце скрылось - Sulimov project (Александр Сулимов);0,6;;;;;;;;0,2;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;
Индия - Дмитрий Люсков и Suno v 4.5 (Дмитрий Люсков);0,6;;;;;;;;;0,2;;;;;;;;;;;;;;;;0,2;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ураган - Ол`ka (Ольга Гавришина);1;;;;;;;;;0,1;;;;;;;;;;;;0,1;;;0,4;;;;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Актриса спускается в партер - AI Илья Недобитый (Константин Леонов-Шуанский);0,5;;;;;;;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;;;;
Азовское море зовёт - awaxino (Сергей Миньков);0,2;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Инклюз - ОПМ (Юн-Софус Кумле);0,4;;;;;;;;;;;0,3;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Если ты уйдешь - Елена Слободчикова (Елена Слободчикова);0,3;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;;;;;
Плюшевые поэты - Отряд Котовскага (Константин Бондаренко);2,5;;;;;;;;;;;;0,3;;0,2;;;;;0,2;;;;;0,2;;;;0,2;;;;0,3;;;;;0,1;;;;;;;0,3;;;;;;0,3;;;;0,1;;;0,3;;;;
Свет дозволенных Рифм - Scary_Man (Артур Колесник);0,9;;;;;;;;;;;;0,2;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;;;;;;;;;;0,1;;;;
